#generation,max_fitness, avg_fitness, min_fitness, best A, best B, best C, best D, best_individual_gtype
----------------------------------------------
#   parents  xsite  gtype       A   B   C   D  fitness
72  (  0,  0)   0  [1101110001100100100100101011011100010001] +1.836  +7.773  -6.074  +0.586  +0.000
73  (  0,  0)   0  [1011100110111111001101111100100010100101] +6.328  +3.164  -3.203  -6.133  +0.000
74  (  0,  0)   0  [0011111001101100110110011101011010000101] -6.602  +7.305  +8.242  +5.117  +0.000
75  (  0,  0)   0  [1100000001110011101010101000010100101010] +0.020  +0.859  +6.211  -1.016  +0.000
76  (  0,  0)   0  [1101010110111100011001110011110100000000] +1.953  +2.578  -2.715  -0.020  +0.000
77  (  0,  0)   0  [1000101100100111010011111110010100000111] +8.906  +8.262  +3.398  -0.117  +0.000
78  (  0,  0)   0  [1001100001101010110100100100100100011001] +8.711  +6.055  -5.566  -0.352  +0.000
79  (  0,  0)   0  [0101010010111000000000111011000011011100] -1.953  +4.980  -6.426  -7.051  +0.000
80  (  0,  0)   0  [1100110110101010001101000011000000100010] +0.703  +6.191  -0.176  -8.828  +0.000
81  (  0,  0)   0  [0101111101101100100110110000100110110000] -1.699  +7.207  +7.422  -4.375  +0.000
82  (  0,  0)   0  [0101111010111110000110101101101100010000] -1.641  +3.711  +5.703  +0.605  +0.000
83  (  0,  0)   0  [1101011111101100111001101000110001010011] +2.070  +7.266  -3.809  -8.086  +0.000
84  (  0,  0)   0  [1101000011101010110101110010010010100001] +2.441  +6.055  -2.793  -6.230  +0.000
85  (  0,  0)   0  [1001101000101110011010001111010000000001] +8.438  +6.328  +9.180  -9.980  +0.000
86  (  0,  0)   0  [0011110010010011001010001110100010001010] -6.816  -0.703  +9.121  -5.254  +0.000
87  (  0,  0)   0  [0001100110101011110000110111101001001100] -8.672  +5.781  -7.109  +7.656  +0.000
88  (  0,  0)   0  [0001111011110001100110011010011100100010] -8.398  +0.332  +8.457  +1.172  +0.000
89  (  0,  0)   0  [1101110100111010100000100100010100101000] +1.719  +4.043  -5.605  -0.957  +0.000
90  (  0,  0)   0  [0110100101101100011101101001111010001000] -3.887  +7.383  -3.867  +5.293  +0.000
91  (  0,  0)   0  [1110100010111100010011010001000111011000] +3.809  +2.637  +2.344  -2.832  +0.000
92  (  0,  0)   0  [0001001101101100011111011111000111110011] -7.695  +7.383  +1.699  -3.184  +0.000
93  (  0,  0)   0  [0000000001110010110101000100100101001100] -9.980  +1.055  -0.566  -2.344  +0.000
94  (  0,  0)   0  [0010010100101101111001110001001101110011] -5.488  +7.090  -2.656  +1.816  +0.000
95  (  0,  0)   0  [0111001000100001101010011111010110010011] -2.812  +9.609  +8.301  -4.434  +0.000
96  (  0,  0)   0  [1100100001100100010111010000000110111100] +1.211  +7.617  +2.480  -4.219  +0.000
97  (  0,  0)   0  [0110001110111111101011101001010010111101] -4.785  +3.359  +3.867  -5.820  +0.000
98  (  0,  0)   0  [1110001101101001100111101110111100001001] +4.805  +5.332  +4.102  +0.273  +0.000
99  (  0,  0)   0  [0011111101100100000101111000101000011011] -6.699  +7.520  -3.691  +9.629  +0.000
total mutate 0
  0, 4973.333333, 440.333333, 0.000000, -0.546875, -4.257812, -2.675781, -6.347656, [0100010110011011010101110011000011100110]
----------------------------------------------
#   parents  xsite  gtype       A   B   C   D  fitness
0   (  1,  1)  39  [0111011101001111100100010111000001010100] -2.949  -6.602  -7.969  -7.988  +3726.667
1   (  2,  3)  30  [0010011101011101001011011111000001010011] -5.449  -3.066  +1.699  -8.086  +2533.333
2   (  0,  0)  39  [0100010110011011010101110011000011100110] -0.547  -4.258  -2.676  -6.348  +1900.000
3   (  8,  8)  39  [0001110001000100101101111011100000010011] -8.164  -7.773  -3.535  -9.434  +1853.333
4   (  6, 21)  32  [0011001111001001111010111001110011101101] -7.305  -5.410  +6.348  -6.445  +1786.667
5   (  5,  5)  39  [1110111000011100000001010110010000100000] +4.062  -2.520  -2.168  -8.770  +1766.667
6   ( 32, 18)  15  [0111010011011111001001011000100010110001] -3.086  -3.203  -1.328  -5.664  +1746.667
7   ( 18, 14)  31  [1110011101010010001001011000100000100110] +4.551  -1.191  -1.328  -8.848  +1633.333
8   ( 29,  0)  15  [1100101011001000010101110011000011100110] +0.977  -5.137  -2.676  -6.348  +1460.000
9   (  3,  3)  39  [0111000100001111100001111010110001010011] -2.656  -6.582  -3.496  -8.086  +1433.333
10  (  0,  5)   9  [0100010110011100000001010110010000100000] -0.547  -2.520  -2.168  -8.770  +1406.667
11  (  5, 44)  33  [1110111000011100000001010110010000111101] +4.062  -2.520  -2.168  -9.199  +1353.333
12  (  2,  2)  39  [0010011101011101001011011111000010000111] -5.449  -3.066  +1.699  -5.117  +1340.000
13  (  6,  4)  25  [0011001111001001111010111011100101011110] -7.305  -5.410  +6.465  -2.109  +1133.333
14  (  4, 25)  38  [1101001111000001011111110011100101011111] +2.285  -9.492  +2.715  -2.090  +1053.333
15  (  3,  2)  30  [0111000100001111100001111010110010000111] -2.656  -6.582  -3.496  -5.117  +1053.333
16  (  0,  6)  24  [0100010110011011010101110001110011111011] -0.547  -4.258  -2.617  -6.621  +1046.667
17  (  5,  0)   9  [1110111000011011010101110011000011100110] +4.062  -4.258  -2.676  -6.348  +1026.667
18  ( 25,  4)  38  [1011011101000101101100100010110101110010] +7.051  -7.871  -5.273  -1.816  +973.333
19  (  2, 15)  34  [0010011101011101001011011111000010001010] -5.449  -3.066  +1.699  -5.254  +966.667
20  (  6,  6)  39  [0011001111001001111010111001110011111011] -7.305  -5.410  +6.348  -6.621  +953.333
21  ( 33,  4)  36  [0010101011000001110010010000001110111110] -5.996  -9.551  +7.500  +4.141  +920.000
22  (  0, 45)  10  [0100010110000010110110001000100110111100] -0.547  -8.945  +8.809  -4.219  +920.000
23  ( 48, 18)   4  [0001011101010010001001011000100010110001] -7.949  -1.191  -1.328  -5.664  +893.333
24  ( 50,  2)  15  [1100000100010000001011011111000010000111] +0.137  -0.078  +1.699  -5.117  +860.000
25  (  3,  0)  32  [0111000100001111100001111010110001100110] -2.656  -6.582  -3.496  -8.672  +853.333
26  (  4, 33)  36  [1101001111000001011111110011100101011010] +2.285  -9.492  +2.715  -2.129  +840.000
27  ( 28,  3)  31  [0100100010000100111010101100011001010011] -1.191  -7.734  +5.645  +8.066  +826.667
28  (  3, 28)  31  [0111000100001111100001111010110010100111] -2.656  -6.582  -3.496  -6.152  +800.000
29  ( 21, 46)   9  [0111010111100111111110101101011111101111] -3.027  +8.320  +5.742  +3.535  +800.000
30  (  0,  3)  32  [0100010110011011010101110011000011010011] -0.547  -4.258  -2.676  -6.934  +793.333
31  (  0, 29)  15  [0100010110011011011001010011010111000001] -0.547  -4.297  -2.324  -2.539  +780.000
32  (  3, 51)   5  [0111000111000010011110011011001111010001] -2.617  -8.867  +8.574  +3.086  +760.000
